,train_loss,val_loss,val_acc
ncb_1-ks_7-nf_32-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.02792280912399292, 0.03349711000919342, 0.022429708391427994, 0.06983363628387451, 0.06388158351182938, 0.01390539389103651, 0.021035272628068924, 0.005529705435037613, 0.00038329738890752196, 0.0016737995902076364]","[0.027408068999648094, 0.022538185119628906, 0.0243685245513916, 0.045392923057079315, 0.044205211102962494, 0.06613630801439285, 0.03693779930472374, 0.1387922316789627, 0.11504484713077545, 0.064052052795887]","[0.9897348284721375, 0.9936698079109192, 0.9931565523147583, 0.9934987425804138, 0.991787850856781, 0.9919589161872864, 0.9912745952606201, 0.981864869594574, 0.9751924872398376, 0.9931565523147583]"
ncb_2-ks_9-nf_64-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.03074588067829609, 0.05020670220255852, 0.027240289375185966, 0.046512357890605927, 0.04737306013703346, 0.03614538535475731, 0.06051907688379288, 0.02132670395076275, 0.012667587026953697, 0.034164171665906906]","[0.040046993643045425, 0.025761963799595833, 0.022782035171985626, 0.03492671251296997, 0.025568507611751556, 0.018867002800107002, 0.04940043017268181, 0.0470273494720459, 0.031331948935985565, 0.16859224438667297]","[0.9924721717834473, 0.991787850856781, 0.9931565523147583, 0.9923011064529419, 0.9952095746994019, 0.9928143620491028, 0.9881950616836548, 0.9938408732414246, 0.9934987425804138, 0.9912745952606201]"
ncb_2-ks_9-nf_128-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.040109604597091675, 0.04194993898272514, 0.033202946186065674, 0.02480410598218441, 0.004578815773129463, 0.06157125160098076, 0.012312582693994045, 0.026328666135668755, 0.023711655288934708, 0.10642808675765991]","[0.025668740272521973, 0.062107812613248825, 0.03623273968696594, 0.03455790877342224, 0.03536461293697357, 0.0843769758939743, 0.050726208835840225, 0.14043782651424408, 0.22972530126571655, 0.12494686245918274]","[0.9921300411224365, 0.9928143620491028, 0.9926432967185974, 0.9869974255561829, 0.9904191493988037, 0.9904191493988037, 0.9929854869842529, 0.9902480840682983, 0.9899058938026428, 0.9929854869842529]"
ncb_3-ks_9-nf_128-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.049478188157081604, 0.027880514040589333, 0.022865910083055496, 0.03374437242746353, 0.036104995757341385, 0.03921361640095711, 0.04845127835869789, 0.019069882109761238, 0.022501803934574127, 0.03699950501322746]","[0.10479486733675003, 0.032753508538007736, 0.03239153325557709, 0.04531801491975784, 0.07159461081027985, 0.14116348326206207, 0.10401587188243866, 0.09594279527664185, 0.0777522400021553, 0.14089450240135193]","[0.9801539778709412, 0.9907613396644592, 0.9919589161872864, 0.9912745952606201, 0.9899058938026428, 0.9878528714179993, 0.9890504479408264, 0.9929854869842529, 0.9912745952606201, 0.9916167855262756]"
ncb_3-ks_9-nf_32-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.058998532593250275, 0.03952853009104729, 0.022063294425606728, 0.022116439417004585, 0.02251518703997135, 0.01879020594060421, 0.020292464643716812, 0.06951161473989487, 0.020338362082839012, 0.028999194502830505]","[0.034551188349723816, 0.04436846077442169, 0.029084118083119392, 0.02934792824089527, 0.044887468218803406, 0.03359536454081535, 0.02521239034831524, 0.0490511916577816, 0.04289178550243378, 0.11096170544624329]","[0.9885371923446655, 0.9857998490333557, 0.9905902743339539, 0.9924721717834473, 0.9852865934371948, 0.991787850856781, 0.9936698079109192, 0.9923011064529419, 0.9916167855262756, 0.9895637035369873]"
ncb_2-ks_9-nf_16-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.046251215040683746, 0.03345697373151779, 0.03531092405319214, 0.032038912177085876, 0.008198254741728306, 0.01457244623452425, 0.08157174289226532, 0.02777174673974514, 0.0255383662879467, 0.068593829870224]","[0.11739259958267212, 0.03397221118211746, 0.047416333109140396, 0.038518328219652176, 0.22141002118587494, 0.033692650496959686, 0.03260258212685585, 0.02666870318353176, 0.03771350905299187, 0.06677569448947906]","[0.9623609781265259, 0.9923011064529419, 0.9897348284721375, 0.9911035299301147, 0.9827202558517456, 0.9909324049949646, 0.991787850856781, 0.9895637035369873, 0.9923011064529419, 0.9926432967185974]"
ncb_2-ks_9-nf_32-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.04349470138549805, 0.02165115438401699, 0.021627718582749367, 0.02898542582988739, 0.011916875839233398, 0.02116975001990795, 0.0037025546189397573, 0.10518833249807358, 0.0032978481613099575, 0.016588693484663963]","[0.03262865170836449, 0.08096981793642044, 0.033578746020793915, 0.035842809826135635, 0.024051295593380928, 0.04023909941315651, 0.032908011227846146, 0.04343108832836151, 0.06320192664861679, 0.03938967362046242]","[0.9919589161872864, 0.9787852764129639, 0.9921300411224365, 0.9890504479408264, 0.9923011064529419, 0.9921300411224365, 0.9936698079109192, 0.9876818060874939, 0.9924721717834473, 0.9880239367485046]"
ncb_1-ks_3-nf_64-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.053111620247364044, 0.031923748552799225, 0.017797593027353287, 0.020951060578227043, 0.017573658376932144, 0.00841639656573534, 0.007623743731528521, 0.007422907277941704, 0.0023149431217461824, 0.018988532945513725]","[0.056893739849328995, 0.037042465060949326, 0.024593135342001915, 0.04503192752599716, 0.034865789115428925, 0.05025874450802803, 0.03500800579786301, 0.05668673291802406, 0.05667929723858833, 0.0605379156768322]","[0.9808382987976074, 0.9873396158218384, 0.9933276176452637, 0.9919589161872864, 0.9931565523147583, 0.9921300411224365, 0.9921300411224365, 0.9936698079109192, 0.9919589161872864, 0.9926432967185974]"
ncb_3-ks_9-nf_64-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.06636598706245422, 0.13080769777297974, 0.0461178794503212, 0.03403026610612869, 0.06577901542186737, 0.02370966598391533, 0.018584737554192543, 0.11463619768619537, 0.03296693041920662, 0.03669103980064392]","[0.19135895371437073, 0.08366257697343826, 0.054777976125478745, 0.028740881010890007, 0.0499957911670208, 0.027030181139707565, 0.03807426244020462, 0.09949783980846405, 0.05164248123764992, 0.06448103487491608]","[0.978272020816803, 0.9846022129058838, 0.9842600226402283, 0.9916167855262756, 0.9881950616836548, 0.9911035299301147, 0.9912745952606201, 0.9905902743339539, 0.9878528714179993, 0.9902480840682983]"
ncb_1-ks_3-nf_16-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,"[0.06664526462554932, 0.03129550442099571, 0.02547740563750267, 0.015346177853643894, 0.0690292939543724, 0.006422119680792093, 0.08191947638988495, 0.0157337449491024, 0.056597523391246796, 0.0013786728959530592]","[0.04551178589463234, 0.030657727271318436, 0.023718178272247314, 0.053374893963336945, 0.05412353202700615, 0.03091743402183056, 0.13262183964252472, 0.08184703439474106, 0.07804322987794876, 0.037041645497083664]","[0.9897348284721375, 0.9919589161872864, 0.9923011064529419, 0.9912745952606201, 0.991787850856781, 0.991787850856781, 0.9905902743339539, 0.9909324049949646, 0.9905902743339539, 0.9926432967185974]"
