model_name,number_convs,kernel_size,channels_per_conv,feature_vector_size,learning_rate,fully_connected_layers,units_per_layer,train_loss_mean,train_loss_best,val_loss_mean,val_loss_best,val_acc_mean,val_acc_best
ncb_2-ks_5-nf_32-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,32,10,0.001,2,64,0.0175036898814141,0.0061483839526772,0.0197093069553375,0.0126103451475501,0.994080412387848,0.997407
ncb_2-ks_5-nf_64-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,64,10,0.001,2,64,0.0351936438120901,0.0056204618886113,0.0262115440331399,0.0154807893559336,0.9938408970832824,0.9962360858917236
ncb_2-ks_5-nf_128-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,128,10,0.001,2,64,0.0185927147511392,0.0056156213395297,0.0169125917367637,0.0125349396839737,0.9939948678016662,0.9962360858917236
ncb_2-ks_5-nf_16-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,16,30,0.001,2,64,0.014787912229076,0.0042513594962656,0.0367985362187027,0.019171493127942,0.9931394457817078,0.9960650205612184
ncb_2-ks_5-nf_64-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,64,20,0.001,2,64,0.0169350877520628,0.0008689855458214,0.0307007933035492,0.0158712603151798,0.9940804064273834,0.9958939552307128
ncb_2-ks_5-nf_128-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,128,30,0.001,2,64,0.0253084011375904,0.0078415879979729,0.0447678240016102,0.0204456970095634,0.9927801489830016,0.9958939552307128
ncb_1-ks_5-nf_32-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,1,5,32,30,0.001,2,64,0.0172595396172255,0.0052159028127789,0.0284382029436528,0.0140728140249848,0.992301106452942,0.9957228302955629
ncb_2-ks_5-nf_16-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,16,20,0.001,2,64,0.0149399969261139,0.0069817318581044,0.0367040835320949,0.019542459398508,0.9925577461719512,0.9957228302955629
ncb_2-ks_7-nf_128-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,2,7,128,10,0.001,2,64,0.0296777183189988,0.0128700770437717,0.0374419469386339,0.0178276691585779,0.9929170191287996,0.9955517649650574
ncb_3-ks_9-nf_16-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,3,9,16,20,0.001,2,64,0.0413315656594932,0.0137042934074997,0.0394737265072763,0.0136974668130278,0.9928999066352844,0.9955517649650574
ncb_2-ks_9-nf_128-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,2,9,128,30,0.001,2,64,0.082579574175179,0.0292152035981416,0.0648790622130036,0.0137789137661457,0.9905389189720154,0.9953806400299072
ncb_2-ks_3-nf_16-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,2,3,16,10,0.001,2,64,0.0174471971542516,4.122044629184529e-05,0.0591360420919954,0.0151498038321733,0.9924722015857697,0.9953806400299072
ncb_1-ks_9-nf_32-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,1,9,32,10,0.001,2,64,0.0173891095502767,0.0004561724490486,0.0403959864750504,0.0205819848924875,0.9914970099925996,0.9953806400299072
ncb_2-ks_7-nf_128-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,2,7,128,20,0.001,2,64,0.0277232932858169,0.0114735187962651,0.0446770782582461,0.014586660079658,0.9898716866970062,0.995209574699402
ncb_2-ks_5-nf_32-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,32,30,0.001,2,64,0.0142731202766299,0.0056287660263478,0.0335593851283192,0.0182368084788322,0.993019676208496,0.995209574699402
ncb_1-ks_3-nf_16-fvs_10-lr_0.0001-mlp_hl_4-mlp_hu_128,1,3,16,10,0.0001,4,128,0.0354920029640197,0.0109705282375216,0.0280049538239836,0.0178006161004304,0.9922839939594268,0.995209574699402
ncb_2-ks_5-nf_64-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,64,30,0.001,2,64,0.0247228316962718,0.0080141890794038,0.0404250163584947,0.0200941823422908,0.992643290758133,0.995209574699402
ncb_2-ks_9-nf_64-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,2,9,64,10,0.001,2,64,0.0366901215165853,0.0126675870269536,0.0464305188506841,0.018867002800107,0.9924550890922548,0.995209574699402
ncb_1-ks_9-nf_32-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,1,9,32,30,0.001,2,64,0.0162035141664091,0.0003928808146156,0.0592316105961799,0.0178546905517578,0.9911890506744384,0.9950385093688964
ncb_2-ks_7-nf_128-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,2,7,128,30,0.001,2,64,0.0212021377403289,0.0046456665731966,0.0490529857575893,0.0149028822779655,0.9911548376083374,0.9950385093688964
ncb_4-ks_2-nf_16-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,4,2,16,10,0.001,2,64,0.0211869833001401,0.0004090261063538,0.0258584277704358,0.015564702451229,0.993584257364273,0.9950385093688964
ncb_2-ks_5-nf_128-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,128,20,0.001,2,64,0.0308253103867173,0.009114334359765,0.0331375187262892,0.0191049929708242,0.9931736648082732,0.9950385093688964
ncb_2-ks_7-nf_32-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,2,7,32,20,0.001,2,64,0.0523761206306517,0.0077292546629905,0.0218835014849901,0.0171306431293487,0.9926261663436888,0.9948673844337464
ncb_2-ks_5-nf_32-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,2,5,32,20,0.001,2,64,0.0188693346921354,0.0046937852166593,0.0259446840733289,0.0153299607336521,0.9931223213672636,0.9948673844337464
ncb_2-ks_7-nf_16-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,2,7,16,30,0.001,2,64,0.0224166434258222,0.010189170949161,0.0347611811012029,0.0200766734778881,0.9920444786548616,0.994696319103241
ncb_3-ks_9-nf_128-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,3,9,128,10,0.001,2,64,15.138918026164172,0.0375719293951988,15.215314338356256,0.0326916798949241,0.8402224153280258,0.994696319103241
ncb_3-ks_7-nf_16-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,3,7,16,10,0.001,2,64,0.0297278879210352,0.0093608312308788,0.0283578410744667,0.0168354883790016,0.9920958161354064,0.994696319103241
ncb_1-ks_3-nf_16-fvs_10-lr_0.0001-mlp_hl_3-mlp_hu_128,1,3,16,10,0.0001,3,128,0.0359183602035045,0.0139898229390382,0.0385857068002224,0.0165114626288414,0.9877331018447876,0.994696319103241
ncb_3-ks_9-nf_32-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,3,9,32,10,0.001,2,64,0.0414288480766117,0.0078563159331679,0.0401528319343924,0.0202461518347263,0.9889820396900176,0.994696319103241
ncb_4-ks_3-nf_16-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,4,3,16,10,0.001,2,64,0.0163007564464351,0.0003426045004744,0.0504510512575507,0.0216533094644546,0.9908810913562774,0.994696319103241
ncb_1-ks_5-nf_128-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,1,5,128,20,0.001,2,64,0.0137584023672388,0.000240866880631,0.0795693071559071,0.021515667438507,0.992403769493103,0.9945252537727356
ncb_2-ks_9-nf_64-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,2,9,64,20,0.001,2,64,0.0224632582627236,0.0042939870618283,0.0470657341182231,0.0373308733105659,0.9918733954429626,0.9945252537727356
ncb_1-ks_9-nf_64-fvs_10-lr_0.001-mlp_hl_2-mlp_hu_64,1,9,64,10,0.001,2,64,0.017755181947723,0.0072510470636188,0.045868282392621,0.0175454299896955,0.9925919651985168,0.9945252537727356
ncb_1-ks_3-nf_16-fvs_10-lr_0.001-mlp_hl_3-mlp_hu_256,1,3,16,10,0.001,3,256,0.0250688102212734,0.0018515581032261,0.0827616054564714,0.0293981470167636,0.979247224330902,0.9945252537727356
ncb_1-ks_3-nf_16-fvs_10-lr_0.001-mlp_hl_1-mlp_hu_32,1,3,16,10,0.001,1,32,0.0155917763320758,4.513918611337431e-05,0.0353023000061512,0.0197840929031372,0.9923182189464568,0.9945252537727356
ncb_3-ks_9-nf_16-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,3,9,16,30,0.001,2,64,0.0416848730295896,0.0196491908282041,0.0581795437261462,0.025713887065649,0.9902138590812684,0.9945252537727356
ncb_1-ks_3-nf_32-fvs_20-lr_0.001-mlp_hl_2-mlp_hu_64,1,3,32,20,0.001,2,64,0.0191743933886755,0.0004518945352174,0.0515457637608051,0.0222082752734422,0.9915483295917512,0.9943541288375854
ncb_2-ks_7-nf_64-fvs_30-lr_0.001-mlp_hl_2-mlp_hu_64,2,7,64,30,0.001,2,64,0.0261698422022163,0.0089473510161042,0.0371436573565006,0.0191377196460962,0.9910521805286407,0.9943541288375854
